acc,disprot_id,region_id,organism,ncbi_taxon_id,group,protein_length,start,end,region_len,term_namespace,term_id,term_ontology,ec_id,ec_name,ec_ontology,reference_id,curator_name,released,version
P49913,DP00004,DP00004r001,Homo sapiens,9606,Human,170,134,170,37,Structural state,IDPO:0000002,IDPO,ECO:0006206,near-UV circular dichroism evidence used in manual assertion,ECO,9452503,Edoardo Salladini,2022_03,4
P49913,DP00004,DP00004r002,Homo sapiens,9606,Human,170,134,170,37,Structural transition,IDPO:0000011,IDPO,ECO:0006206,near-UV circular dichroism evidence used in manual assertion,ECO,9452503,Edoardo Salladini,2022_03,3
P49913,DP00004,DP00004r004,Homo sapiens,9606,Human,170,134,170,37,Biological process,GO:0019835,GO,ECO:0007634,experimental phenotypic evidence used in manual assertion,ECO,9452503,Edoardo Salladini,2022_06,4
P49913,DP00004,DP00004r005,Homo sapiens,9606,Human,170,150,162,13,Biological process,GO:1990000,GO,ECO:0006003,electron microscopy evidence used in manual assertion,ECO,32753597,Jaime Santos Suárez,2022_12,0
P49913,DP00004,DP00004r006,Homo sapiens,9606,Human,170,150,162,13,Biological process,GO:1990000,GO,ECO:0005670,x-ray crystallography evidence used in manual assertion,ECO,32753597,Jaime Santos Suárez,2022_12,0
P27695,DP00007,DP00007r002,Homo sapiens,9606,Human,318,1,42,42,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,11286553,Ivan Mičetić,2022_03,3
P27695,DP00007,DP00007r006,Homo sapiens,9606,Human,318,1,36,36,Structural state,IDPO:0000002,IDPO,ECO:0007691,cleavage assay evidence used in manual assertion,ECO,9603956,Federica Quaglia,2022_03,2
P27695,DP00007,DP00007r007,Homo sapiens,9606,Human,318,32,43,12,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,9351835,Federica Quaglia,2022_03,2
P27695,DP00007,DP00007r008,Homo sapiens,9606,Human,318,2,40,39,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,23355472,Federica Quaglia,2022_03,2
P0DMM9,DP00011,DP00011r004,Homo sapiens,9606,Human,295,64,77,14,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,10543947,Victoria Nugnes,2022_12,3
P0DMM9,DP00011,DP00011r005,Homo sapiens,9606,Human,295,64,77,14,Disorder function,IDPO:0000033,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,10543947,Victoria Nugnes,2023_06,5
P0DMM9,DP00011,DP00011r006,Homo sapiens,9606,Human,295,216,261,46,Structural state,IDPO:0000002,IDPO,ECO:0006220,X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,ECO,10543947,Victoria Nugnes,2022_12,3
