acc,disprot_id,organism,group,length,protein_name,reason
Q8WZ42,DP00072,Homo sapiens,Human,34350,Titin,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P25054,DP00519,Homo sapiens,Human,2843,Adenomatous polyposis coli protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9HB71-2,DP00907,Homo sapiens,Human,80,Isoform 2 of Calcyclin-binding protein,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P46108-2,DP00973,Homo sapiens,Human,204,Isoform Crk-I of Adapter molecule crk,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q9NQI0-2,DP01066,Homo sapiens,Human,690,Isoform 2 of Probable ATP-dependent RNA helicase DDX4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P61244-2,DP01097,Homo sapiens,Human,151,Isoform 2 of Protein max,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q16222-2,DP01098,Homo sapiens,Human,505,Isoform AGX1 of UDP-N-acetylhexosamine pyrophosphorylase,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O00204-2,DP01099,Homo sapiens,Human,350,Isoform 2 of Sulfotransferase 2B1,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
P10636-8,DP01100,Homo sapiens,Human,441,Isoform Tau-F of Microtubule-associated protein tau,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q03164,DP01116,Homo sapiens,Human,3969,Histone-lysine N-methyltransferase 2A,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
Q00987-11,DP01133,Homo sapiens,Human,497,Isoform 11 of E3 ubiquitin-protein ligase Mdm2,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
O43236-6,DP01325,Homo sapiens,Human,274,Isoform ARTS of Septin-4,"alphafold_very_low_content absent from DisProt export; AlphaFold DB not reachable to determine cause (candidate causes: no AFDB model, length outside AFDB limits, or non-canonical isoform)"
